duration;nb_steps;mean_train;max_train;min_train;mean_test_agent;max_test_agent;min_test_agent;mean_test_own;max_test_own;min_test_own;break_counter;n;windows_length;adam_learning_rate;adam_epsilon;batch_size;target_model_update;dueling_option;activation;layers;unit_1;unit_2
206.32659;20000;-43.148331415420024;-33.5;-83.4;-37.62833333333334;-28.733333333333334;-45.86666666666667;15.821773485513608;58;0;100;100;1;0.005;0.0001;32;0.001;avg;linear;2;32;32
208.446596;20000;-44.109894566098944;-32.9;-77.0;-41.90466666666667;-33.43333333333334;-64.5;16.213793103448275;47;0;100;100;1;0.005;0.1;32;0.0005;avg;linear;2;16;16
206.477489;20000;-43.97348897535668;-32.5;-75.96666666666667;-45.12466666666666;-34.86666666666667;-66.5;15.48449345279118;47;0;100;100;1;0.005;0.001;32;0.001;avg;linear;1;48;16
239.077089;20000;-39.371004736973326;-29.366666666666667;-76.0;-36.54666666666667;-33.766666666666666;-37.2;17.56160714285714;47;0;100;100;1;0.00146;0.1;32;0.005;avg;linear;2;16;16
240.900177;20000;-40.35558126721763;-33.5;-66.53333333333333;-36.782333333333334;-34.266666666666666;-37.233333333333334;16.05739299610895;39;0;100;100;1;0.0005;1e-05;32;0.00146;avg;linear;2;48;16
233.278899;20000;-49.23917081260365;-33.4;-89.33333333333334;-50.158333333333324;-37.6;-77.46666666666667;18.28984432913269;40;0;100;100;1;0.005;0.1;32;0.0001;avg;linear;1;32;16
237.240109;20000;-39.114436658881104;-31.233333333333334;-59.5;-36.577;-32.2;-45.0;17.608506944444443;49;0;100;100;1;0.0005;1e-05;32;0.005;avg;linear;2;32;16
230.987007;20000;-40.35730192217534;-31.8;-68.0;-37.18633333333334;-33.53333333333333;-39.5;13.129554655870445;41;0;100;100;1;0.01;1e-05;32;0.005;avg;linear;1;32;32
237.099501;20000;-45.46335940045618;-33.333333333333336;-77.46666666666667;-47.15966666666667;-33.46666666666667;-71.26666666666667;20.00564516129032;46;0;100;100;1;0.005;0.001;32;0.0001;avg;linear;2;48;16
232.212249;20000;-46.43229548229548;-34.0;-73.1;-52.41833333333333;-37.333333333333336;-64.56666666666666;20.29531051964512;41;0;100;100;1;0.00146;0.1;32;0.0001;avg;linear;1;16;16
266.941307;20000;-39.24181259600615;-32.1;-66.0;-36.72200000000001;-33.46666666666667;-38.63333333333333;15.530345471521942;37;0;100;100;1;0.001;0.0001;32;0.01;avg;linear;2;32;16
289.463295;20000;-40.64771852215942;-31.4;-82.5;-38.955;-34.5;-40.0;4.168869309838473;21;0;100;100;1;0.0001;0.01;32;0.00146;avg;linear;1;48;48
331.9967;20000;-41.36550788954635;-34.5;-75.0;-38.86;-36.5;-39.0;0.7232142857142857;2;0;100;100;1;0.0001;0.01;32;0.005;avg;linear;2;48;16
264.612726;20000;-46.08088930936613;-32.36666666666667;-80.7;-45.961000000000006;-36.666666666666664;-54.46666666666667;15.634839650145773;31;0;100;100;1;0.0005;0.1;32;0.0005;avg;linear;2;16;16
283.905065;20000;-44.16090570364001;-32.6;-72.63333333333333;-41.52166666666667;-33.7;-56.266666666666666;14.347653142402546;34;0;100;100;1;0.001;0.001;32;0.0005;avg;linear;1;32;32
309.556941;20000;-41.13782569631626;-32.13333333333333;-72.8;-36.69566666666667;-30.0;-39.0;16.219755826859046;57;0;100;100;1;0.005;1e-05;32;0.00146;avg;linear;2;32;16
328.044883;20000;-41.43767673967286;-33.13333333333333;-68.0;-37.1;-34.53333333333333;-45.0;12.980676328502415;39;0;100;100;1;0.0005;0.01;32;0.005;avg;linear;1;16;16
327.90932;20000;-46.62345153664303;-33.5;-82.0;-48.04200000000001;-36.8;-62.53333333333333;13.745956873315365;37;0;100;100;1;0.005;0.1;32;0.0005;avg;linear;1;48;48
345.083292;20000;-43.152637215528785;-33.5;-74.7;-37.08066666666667;-29.9;-44.63333333333333;15.731589147286822;53;0;100;100;1;0.001;0.001;32;0.001;avg;linear;2;32;32
340.506599;20000;-42.25595189839211;-32.03333333333333;-83.0;-37.806000000000004;-33.3;-53.93333333333334;12.274826789838338;32;0;100;100;1;0.01;0.01;32;0.00146;avg;linear;1;48;16
