duration;nb_steps;mean_train;max_train;min_train;mean_test_agent;max_test_agent;min_test_agent;mean_test_own;max_test_own;min_test_own;break_counter;n;windows_length;adam_learning_rate;adam_epsilon;batch_size;target_model_update;dueling_option;activation;layers;unit_1;unit_2;unit_3
280.135615;20000;-44.23180279617365;-31.833333333333336;-81.86666666666667;-40.242333333333335;-30.9;-54.03333333333333;17.24588938714499;44;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;48;16
288.527749;20000;-44.408610086100865;-32.53333333333333;-82.36666666666667;-42.685333333333325;-33.56666666666666;-61.766666666666666;18.615544760582928;47;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;32;80
296.096969;20000;-45.94736842105263;-33.266666666666666;-90.93333333333334;-48.69833333333333;-36.0;-70.93333333333334;19.30534351145038;43;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;64;64
297.239442;20000;-42.927959963123925;-33.2;-80.66666666666666;-40.039;-34.2;-62.46666666666667;14.797491039426523;44;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;32;32
299.647054;20000;-43.43882415963573;-31.03333333333333;-76.0;-36.766666666666666;-34.0;-39.5;15.394;45;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;32;16;16
308.988219;20000;-44.046076282332315;-32.96666666666667;-80.93333333333334;-46.88366666666668;-34.46666666666667;-71.43333333333334;10.148760330578513;44;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;80;80
327.228289;20000;-42.92443406395976;-31.733333333333334;-73.0;-36.827000000000005;-31.933333333333334;-45.5;16.647359454855195;37;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;48;32;64
332.750255;20000;-42.8624531024531;-33.5;-72.06666666666666;-37.46066666666667;-33.7;-53.16666666666667;16.683626271970397;38;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;32;32;16
333.02343;20000;-43.77862060332958;-33.233333333333334;-80.56666666666666;-44.84366666666667;-36.666666666666664;-45.8;17.904191616766468;48;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;48;32;16
349.739145;20000;-42.45949848024316;-33.166666666666664;-83.23333333333333;-36.85900000000001;-33.43333333333334;-39.5;14.969432314410481;37;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;48;16;16
342.404591;20000;-42.329201991656575;-33.53333333333333;-84.0;-38.971;-34.666666666666664;-48.0;5.942105263157894;38;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;32;16;64
345.907977;20000;-42.88749628308058;-31.333333333333336;-72.6;-43.25166666666667;-34.6;-56.0;12.854896354538957;49;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;48;48;16
360.506459;20000;-42.61397773039564;-32.266666666666666;-73.9;-37.581999999999994;-31.8;-53.5;14.728428701180745;56;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;32;16;80
352.284553;20000;-45.544917756221004;-33.63333333333333;-81.26666666666667;-41.913000000000004;-33.5;-62.766666666666666;18.12756909992913;41;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;64;48;64
